@relation subflow_dataset_clustered

@attribute Instance_number numeric
@attribute flowid numeric
@attribute ppid numeric
@attribute subflow1 numeric
@attribute subflow2 numeric
@attribute subflow3 numeric
@attribute subflow4 numeric
@attribute subprotocol {none,'transition point 1','transition point 2'}
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10,cluster11,cluster12,cluster13,cluster14,cluster15,cluster16,cluster17,cluster18,cluster19,cluster20,cluster21,cluster22,cluster23,cluster24,cluster25,cluster26,cluster27,cluster28,cluster29,cluster30,cluster31,cluster32,cluster33,cluster34,cluster35,cluster36,cluster37,cluster38,cluster39,cluster40,cluster41,cluster42,cluster43,cluster44,cluster45,cluster46,cluster47,cluster48,cluster49,cluster50,cluster51,cluster52,cluster53,cluster54,cluster55,cluster56,cluster57,cluster58,cluster59,cluster60,cluster61,cluster62,cluster63,cluster64,cluster65,cluster66,cluster67,cluster68,cluster69,cluster70,cluster71,cluster72,cluster73,cluster74,cluster75,cluster76,cluster77,cluster78,cluster79,cluster80,cluster81,cluster82,cluster83,cluster84,cluster85,cluster86,cluster87,cluster88,cluster89,cluster90,cluster91,cluster92,cluster93,cluster94,cluster95,cluster96,cluster97,cluster98,cluster99,cluster100,cluster101,cluster102,cluster103,cluster104,cluster105,cluster106,cluster107,cluster108,cluster109,cluster110,cluster111,cluster112,cluster113,cluster114,cluster115,cluster116,cluster117,cluster118,cluster119,cluster120,cluster121,cluster122,cluster123,cluster124,cluster125,cluster126,cluster127,cluster128,cluster129,cluster130,cluster131,cluster132,cluster133,cluster134,cluster135,cluster136,cluster137,cluster138,cluster139,cluster140,cluster141,cluster142,cluster143,cluster144,cluster145,cluster146,cluster147,cluster148,cluster149,cluster150,cluster151,cluster152,cluster153,cluster154,cluster155,cluster156,cluster157,cluster158,cluster159,cluster160,cluster161,cluster162,cluster163,cluster164,cluster165,cluster166,cluster167,cluster168,cluster169,cluster170,cluster171,cluster172,cluster173,cluster174,cluster175,cluster176,cluster177,cluster178,cluster179,cluster180,cluster181,cluster182,cluster183,cluster184,cluster185,cluster186,cluster187,cluster188,cluster189,cluster190,cluster191,cluster192}

@data
220,10,5,438,-518,238,186,none,cluster22
221,10,6,238,186,-106,154,none,cluster72
222,10,7,186,-106,154,-122,none,cluster63
223,10,8,-106,154,-122,170,none,cluster44
224,10,9,154,-122,170,-122,none,cluster9
225,10,10,-122,170,-122,-122,none,cluster28
226,10,11,-122,-122,170,-122,none,cluster8
227,10,12,-122,170,-122,170,none,cluster192
228,10,13,170,-122,170,-122,none,cluster1
229,10,14,-122,170,-122,170,none,cluster192
230,10,15,170,-122,170,-122,none,cluster1
231,10,16,-122,170,-122,170,none,cluster192
232,10,17,170,-122,170,-122,none,cluster1
233,10,18,-122,170,-122,170,none,cluster192
234,10,19,170,-122,170,-122,none,cluster1
235,10,20,-122,170,-122,170,none,cluster192
236,10,21,170,-122,170,-122,none,cluster1
237,10,22,-122,170,-122,170,none,cluster192
238,10,23,170,-122,170,-122,none,cluster1
239,10,24,-122,170,-122,170,none,cluster192
240,10,25,170,-122,170,-122,none,cluster1
241,10,26,-122,170,-122,170,none,cluster192
242,10,27,170,-122,170,-122,none,cluster1
243,10,28,-122,170,-122,170,none,cluster192
244,10,29,170,-122,170,-122,none,cluster1
245,10,30,-122,170,-122,170,none,cluster192
246,10,31,170,-122,170,-122,none,cluster1
247,10,32,-122,170,-122,170,none,cluster192
248,10,33,170,-122,170,-122,none,cluster1
249,10,34,-122,170,-122,-122,none,cluster28
250,10,35,-122,-122,170,-122,none,cluster8
251,10,36,-122,170,-122,170,none,cluster192
252,10,37,170,-122,170,-122,none,cluster1
253,10,38,-122,170,-122,170,none,cluster192
254,10,39,170,-122,170,-122,none,cluster1
255,10,40,-122,170,-122,170,none,cluster192
256,10,41,170,-122,170,-122,none,cluster1
257,10,42,-122,170,-122,170,none,cluster192
258,10,43,170,-122,170,-122,none,cluster1
259,10,44,-122,170,-122,170,none,cluster192
260,10,45,170,-122,170,-122,none,cluster1
261,10,46,-122,170,-122,170,none,cluster192
262,10,47,170,-122,170,-122,none,cluster1
263,10,48,-122,170,-122,170,none,cluster192
264,10,49,170,-122,170,-122,none,cluster1
265,11,2,77,-510,862,438,none,cluster24
266,11,3,862,438,-518,238,none,cluster23
267,11,4,438,-518,238,186,none,cluster22
268,11,5,238,186,-106,154,none,cluster72
269,11,6,186,-106,154,-122,none,cluster63
270,11,7,-106,154,-122,170,none,cluster44
271,11,8,154,-122,170,-122,none,cluster9
272,11,9,-122,170,-122,170,none,cluster192
273,11,10,170,-122,170,-122,none,cluster1
274,11,11,-122,170,-122,170,none,cluster192
275,11,12,170,-122,170,-122,none,cluster1
276,11,13,-122,170,-122,234,none,cluster29
277,11,14,170,-122,234,-122,none,cluster81
278,11,15,-122,234,-122,170,none,cluster43
279,11,16,234,-122,170,-122,none,cluster10
280,11,17,-122,170,-122,170,none,cluster192
281,11,18,170,-122,170,-90,none,cluster126
282,11,19,-122,170,-90,-90,none,cluster165
283,11,20,-90,-90,122,-106,none,cluster165
284,11,21,-90,122,-106,250,none,cluster122
285,11,22,122,-106,250,-90,none,cluster124
286,11,23,-106,250,-90,90,none,cluster123
287,11,24,250,-90,90,106,none,cluster137
288,12,2,77,-510,862,438,none,cluster24
